FID;QRT_VLG_HA;REG;DEPT;CAV;CCRCA;COD_DEPT;COD_CAV;COD_CCRCA
0;DIACKSAO II;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
1;MEDINATOUL MOUNAWARA;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
2;DIAMAGUENE MAREGE (SAMBA DRAME);DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
3;CITE SOBOA;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
4;FORA;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
5;DAROU SALAM I;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
6;MEDINATOUL MOUNAWARA;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
7;Arafat;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
8;AMDALLAH IV A;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
9;AINOUMADY;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
10;NASSOUROULAYE II B;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
11;SAM SAM I A;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
12;TOUBA SAM SAM II;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
13;MEDINA FASS MBAO;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
14;FASS MBAO II;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
15;CITE NELSON MANDELA;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
16;DAROU SALAM II;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
17;TAIF III;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
18;Taif  IB;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
19;SAM SAM DIAMAGUENE;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
20;SAM SAM III DAROU KHAFOR;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
21;SAM SAM NIMZATT;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;2;301;33
