FID;Qaurtier;Repere
0;Darou Rahmane;Cimetière Musulmane de Diamaguene
1;Darou Rahmane; 
2;Darou Rahmane; 
3; ;Tournale Fora
4;Fora; 
5;Fora;Jummah Ibadou
6;Darou Salam; 
7;Abdou Ndiaye; 
8; ; 
9; ; 
10; ; 
11; ; 
12; ; 
13; ; 
14; ; 
15; ; 
16; ; 
17;Cité Sicap Mbao;CEM DSM
18;Cité Sicap Mbao;Ecole Babacar Senghor
19; ;Stade Municipal DSM
20; ;Tally Mame Diarra
21; ; 
22; ;Tally Carreaux
23; ; 
24; ; 
25;Darou Rahmane;Jummah Diamaguene
26;Cité Sicap Mbao;Terrain Gaz
27;Cité Sicap Mbao;Terrain Sicap
28;Sam Sam 3; 
29;Sam Sam 3; 
30; ; 
31; ; 
32; ; 
33; ; 
34; ; 
35; ; 
36; ; 
37; ; 
38;Cité Mandela; 
39;Sam Sam 3; 
40; ; 
41; ; 
42; ; 
43; ; 
44; ; 
