FID;fid_1;Commune;Qaurtier;Nom
0;1,000000000000000;DSM;Darou Rahmane;Cimetière Musulmane de Diamaguene
1;2,000000000000000;DSM;Darou Rahmane; 
2;3,000000000000000;DSM;Darou Rahmane; 
3;4,000000000000000;DSM; ;Tournale Fora
4;5,000000000000000;DSM;Fora; 
5;6,000000000000000;DSM;Fora;Jummah Ibadou
6;7,000000000000000;DSM;Darou Salam; 
7;8,000000000000000;DSM;Abdou Ndiaye; 
8;9,000000000000000;DSM; ; 
9;10,000000000000000;DSM; ; 
10;11,000000000000000; ; ; 
11;12,000000000000000;DSM; ; 
12;13,000000000000000;DSM; ; 
13;14,000000000000000;DSM; ; 
14;15,000000000000000;DSM; ; 
15;16,000000000000000;DSM; ; 
16;17,000000000000000;DSM; ; 
17;18,000000000000000;DSM;Cité Sicap Mbao;CEM DSM
18;19,000000000000000;DSM;Cité Sicap Mbao;Ecole Babacar Senghor
19;20,000000000000000;DSM; ;Stade Municipal DSM
20;21,000000000000000;DSM; ;Tally Mame Diarra
21;22,000000000000000;DSM; ; 
22;23,000000000000000;DSM; ;Tally Carreaux
23;24,000000000000000;DSM; ; 
24;25,000000000000000;DSM; ; 
25;26,000000000000000;DSM;Darou Rahmane;Jummah Diamaguene
26;27,000000000000000;DSM;Cité Sicap Mbao;Terrain Gaz
27;28,000000000000000;DSM;Cité Sicap Mbao;Terrain Sicap
28;29,000000000000000;DSM;Sam Sam 3; 
29;30,000000000000000;DSM;Sam Sam 3; 
30;31,000000000000000;DSM; ; 
31;32,000000000000000;DSM; ; 
32;33,000000000000000;DSM; ; 
33;34,000000000000000;DSM; ; 
34;35,000000000000000;DSM; ; 
35;36,000000000000000;DSM; ; 
36;37,000000000000000;DSM; ; 
37;38,000000000000000;DSM; ; 
38;39,000000000000000;DSM;Cité Mandela; 
39;40,000000000000000;DSM;Sam Sam 3; 
40;41,000000000000000;DSM; ; 
41;42,000000000000000;DSM; ; 
42;43,000000000000000;DSM; ; 
43;44,000000000000000;DSM; ; 
44;45,000000000000000;DSM; ; 
